#,Short name / method,First author,Year,Pub status,Venue,arXiv / DOI,IEEE,ACM,Scopus,WoS,Indexing confidence,Type,Relevance to forensic-readiness survey,Cited in draft?,Reviewer expects?
19,From Untrusted Input to Trusted Memory + MPBench,Dash,2026,Peer-reviewed workshop,ICML 2026 AIWILD Workshop,2606.04329,,,,,Peer-reviewed workshop,Attack,"9 structural vulns, 4 write channels, MPBench (ASR 50%, RSR 41%). Must-cite.",Yes,Yes
20,MemMorph — tool-use hijacking via memory,Zhang,2026,Preprint,arXiv,2605.26154,,,,,Preprint,Attack,Tool-use hijacking through persistent memory. Execute-phase.,Yes,No
21,Zombie Agents — persistent control via self-reinforcing injection,Yang,2026,Preprint,arXiv,2602.15654,,,,,Preprint,Attack,Reanimating dormant poisoned memory. Forget/rollback reappearance.,Yes,No
22,No Attacker Needed — unintentional cross-user contamination,Yang,2026,Preprint,arXiv,2604.01350,,,,,Preprint,Attack,Non-adversarial cross-user contamination. Supports your benign-risk framing.,Yes,Yes
23,Skill-Inject — malicious procedures into skill memory,Schmotz,2026,Preprint,arXiv,2602.20156,,,,,Preprint,Attack,Injection into skill/procedural memory. Procedural-corruption class.,Yes,No
24,Visual Inception — multimodal memory poisoning,Qian,2026,Preprint,arXiv,2604.16966,,,,,Preprint,Attack,Multimodal poisoning + counterfactual causal influence. Breadth.,Yes,No
25,PoisonedRAG — knowledge corruption of RAG,Zou,2024,Peer-reviewed (verify final venue),USENIX Security (verify),2402.07867,,,,,Peer-reviewed (metadata to verify),Attack,Canonical RAG corpus poisoning. Contrast RAG vs agent-memory write path.,Yes,Yes
26,Agent Smith — one image jailbreaks a million agents,Gu,2024,Peer-reviewed,ICML 2024,2402.08567,,,,,Peer-reviewed,Attack,Exponential multi-agent propagation. Core share/propagate.,Yes,Yes
27,ComPromptMized — zero-click self-replicating GenAI worm,Cohen,2025,Peer-reviewed,ACM CCS 2025,2403.02817,,,,,Peer-reviewed (verify),Attack,Self-replicating email-assistant worm. Propagation blast-radius.,Yes,Yes
28,Ghost of the Past — privacy leakage of LLM memory,Zhang,2023,Peer-reviewed,CHI 2023,2410.14931,,,,,Peer-reviewed,Attack,Residual privacy leakage. Forget-phase residue.,Yes,Yes
29,Cross-session Stored Prompt Injection in Agentic Systems,Xie,2026,Preprint,arXiv,2606.04425,,,,,Preprint,Attack,'What if prompt injection never left' — reinforces persistence thesis. Consider adding.,No,No
30,ER-MIA — black-box adversarial memory injection,Piehl,2026,Preprint,arXiv,2602.15344,,,,,Preprint,Attack,NEW (both prior workbooks missed): black-box reasoning-degradation memory injection.,No,Yes
31,MemPoison / Hijacking Agent Memory — stealthy trojan via dialogue,Wang (Hongtao),2026,Preprint,arXiv,2605.29960,,,,,Preprint,Attack,"NEW: backdoor bypassing selective-memory pipelines, ASR up to 0.95. (2nd AI listed this with wrong metadata.)",No,Yes
32,ShadowMerge — poisoning graph-based memory via relation-channel conflicts,(ShadowMerge),2026,Preprint,arXiv,2605.09033,,,,,Preprint,Attack,NEW: graph-memory relation-channel poisoning. Missed by both prior workbooks.,No,No
33,MRMMIA — membership inference on chat-agent memory,Chen (Kai),2026,Preprint,arXiv,2605.27825,,,,,Preprint,Attack,NEW: membership-leakage on agent memory. Confidentiality breadth.,No,No
34,VerificAgent — human-verified memory freezing,Nguyen,2025,Preprint,arXiv,2506.02539,,,,,Preprint,Defense,Write-time human-verified freeze into safety contract. Core write-time defense.,Yes,Yes
35,PROV-AGENT — unified provenance for agent interactions,Souza,2025,Peer-reviewed,IEEE e-Science 2025,2508.02866,,,,,Peer-reviewed,Provenance/System,Extends W3C PROV-DM to agent workflows. Central to your provenance chapter.,Yes,Yes
36,MemOS — a memory OS for AI,Li,2025,Preprint,arXiv,2507.03724,,,,,Preprint,Provenance/System,MemCube units w/ source/version/sensitivity metadata; snapshot/rollback. Infra anchor.,Yes,Yes
37,MemLineage — lineage-guided enforcement for agent memory,Ouyang,2026,Preprint,arXiv,2605.14421,,,,,Preprint,Defense,Cryptographic provenance + LLM-mediated derivation lineage. Supports semantic-lineage thesis.,Yes,Yes
38,Origin-bound Authority (non-malleable) against poisoning,Louck,2026,Preprint,arXiv,2606.24322,,,,,Preprint,Defense,Origin-bound authority w/ machine-checked guarantees. Core authority-vs-provenance distinction.,Yes,Yes
39,MemAudit — post-hoc auditing via causal attribution,Tan,2026,Preprint,arXiv,2605.23723,,,,,Preprint,Defense,Counterfactual memory-influence + memory-consistency graph. Your causal-reconstruction backbone.,Yes,Yes
40,Forensic Trajectory Signatures — behavioural detection of poisoning,Leong,2026,Preprint,arXiv,2606.30566,,,,,Preprint,Defense,Detects poisoning from tool-call trajectory signatures alone (note: full title says 'observability limits').,Yes,Yes
41,RobustRAG — certifiably robust RAG vs retrieval corruption,Xiang,2026,Preprint,arXiv,2405.15556,,,,,Preprint / peer-reviewed venue to verify,Defense,Isolate-then-aggregate certifiable robustness. Retrieve-time defense.,Yes,Yes
42,A-MemGuard — proactive defense for agent memory,Wei,2025,Preprint,arXiv,2510.02373,,,,,Preprint,Defense,"Memory-native consensus; lesson-memory hardening. Retrieve-time, memory-aware.",Yes,Yes
43,TrustRAG — robust & trustworthy RAG,Zhou,2025,Preprint,arXiv,2501.00879,,,,,Preprint,Defense,Clustering + trust scoring filter. Retrieve-time.,Yes,No
44,SeCon-RAG — semantic filtering + conflict-free RAG,Si,2025,Peer-reviewed,NeurIPS 2025,2510.09710,,,,,Peer-reviewed,Defense,Two-stage semantic + contradiction filtering. Retrieve-time.,Yes,No
45,RevPRAG — poisoning detection via activations,Tan,2025,Peer-reviewed,Findings of EMNLP 2025,2411.18948,,,,,Peer-reviewed,Defense,Activation-difference detection. Retrieve-time.,Yes,No
46,CaMeL — defeating prompt injection by design,Debenedetti,2025,Preprint,arXiv,2503.18813,,,,,Preprint,Defense,"Control/data-plane separation, IFC. Execute-time; bridges prevention+forensics.",Yes,Yes
47,FIDES — securing agents with information-flow control,Costa,2025,Preprint,arXiv,2505.23643,,,,,Preprint,Defense,Agent-level IFC + policy traces. Execute-time; forensic by-product.,Yes,Yes
48,Progent — programmable privilege control,Shi,2026,Preprint,arXiv,2504.11703,,,,,Preprint,Defense,Fine-grained tool-privilege policies. Blast-radius reduction.,Yes,No
49,IsolateGPT — execution isolation architecture,Wu,2025,Peer-reviewed,NDSS 2025,2403.04960,,,,,Peer-reviewed (verify),Defense,Execution isolation for agent systems. Containment.,Yes,No
50,Collaborative Memory — multi-user sharing w/ dynamic access control,Rezazadeh,2025,Preprint,arXiv,2505.18279,,,,,Preprint,Defense,Time-evolving principal-resource graph. Principal-scoped / share-time anchor.,Yes,Yes
51,"BlindGuard — safeguarding multi-agent systems, unknown attacks",Miao,2026,Preprint,arXiv,2508.08127,,,,,Preprint,Defense,Unsupervised graph-level contagion detection. Share-time.,Yes,No
52,RAGForensics — traceback of poisoning to RAG,Zhang,2025,Peer-reviewed,WWW 2025,2504.21668,,,,,Peer-reviewed,Defense,Post-hoc traceback for static RAG. Rollback/traceback anchor (note: static-corpus).,Yes,Yes
53,"SuperLocalMemory — privacy-preserving multi-agent memory, Bayesian trust",Bhardwaj,2026,Preprint,arXiv,2603.02240,,,,,Preprint,Defense,NEW: Bayesian trust defense vs memory poisoning. Missed by both prior workbooks.,No,No
54,MEMSAD — gradient-coupled anomaly detection for memory poisoning,Gowda,2026,Preprint,arXiv,2605.03482,,,,,Preprint,Defense,NEW: anomaly detection for RAG-agent memory poisoning. Defense-lens breadth.,No,No
55,Agentic Unlearning — LLM agent meets machine unlearning,Wang,2026,Preprint,arXiv,2602.17692,,,,,Preprint,Defense,Recovery-assurance; agent-level unlearning. Forget/verified-forgetting.,Yes,Yes
56,When Machine Unlearning Meets RAG,Wang,2024,Preprint,arXiv,2410.15267,,,,,Preprint,Defense,RAG-unlearning; reappearance after deletion. Forget-phase residue.,Yes,Yes
57,LongMemEval — long-term interactive memory benchmark,Wu,2025,Peer-reviewed,ICLR 2025,2410.10813,,,,,Peer-reviewed (verify),Benchmark,Extraction/multi-session/temporal (benign). You propose forensic extensions.,Yes,Yes
58,MemBench — comprehensive memory evaluation,Tan,2025,Peer-reviewed,ACL Findings 2025,2506.21605,,,,,Peer-reviewed (verify),Benchmark,Factual+reflective memory eval. Benchmark substrate.,Yes,Yes
59,Mem2ActBench — LTM utilisation in tool tasks,Shen,2026,Peer-reviewed,ACL 2026,2601.19935,,,,,Peer-reviewed (verify),Benchmark,Whether agents actively apply LTM in tool tasks. Memory-to-action substrate.,Yes,No
60,GateMem — memory governance in multi-principal shared memory,Ren,2026,Preprint,arXiv,2606.18829,,,,,Preprint,Benchmark,No method jointly achieves utility+access-control+forgetting. Strong gap evidence.,Yes,Yes
61,CIMemories — contextual integrity of persistent memory,Mireshghallah,2026,Preprint,arXiv,2511.14937,,,,,Preprint,Benchmark,Compositional contextual-integrity benchmark. Confidentiality eval.,Yes,Yes
62,PersistBench — when should LTM be forgotten,Pulipaka,2026,Peer-reviewed,ICML 2026 / PMLR 306,2602.01146,,,,,Peer-reviewed (verify official PMLR record),Benchmark,Forget-time benchmark. Directly supports recovery/forget gap.,Yes,Yes
63,AgentDojo — dynamic env for prompt-injection,Debenedetti,2024,Peer-reviewed,NeurIPS D&B 2024,2406.13352,,,,,Peer-reviewed (verify),Benchmark,Tool-agent injection benchmark (single-session). Contrast w/ cross-session.,Yes,Yes
64,InjecAgent — indirect PI in tool-integrated agents,Zhan,2024,Peer-reviewed,ACL Findings 2024,2403.02691,,,,,Peer-reviewed (verify),Benchmark,Indirect-PI benchmark. Single-session baseline you extend past.,Yes,Yes
65,Agent Security Bench (ASB),Zhang,2025,Peer-reviewed,ICLR 2025,2410.02644,,,,,Peer-reviewed (verify),Benchmark,Formalizes attacks/defenses incl. memory-stage. Coverage.,Yes,Yes
66,MemSyco-Bench — sycophancy in agent memory,(MemSyco),2026,Preprint,arXiv,2607.01071,,,,,Preprint,Benchmark,"NEW (Jul 2026, POST-cutoff): benign memory-integrity benchmark. Note date if cited.",No,No
67,AgentLAB — benchmarking agents vs long-horizon attacks,Jiang,2026,Preprint,arXiv,2602.16901,,,,,Preprint,Benchmark,NEW: 644 test cases / 28 environments incl. memory poisoning. Coverage.,No,No
68,Machine Unlearning,Bourtoule,2021,Peer-reviewed,IEEE S&P 2021,—,,,,,Peer-reviewed (verify),Foundation,Removing influence != deleting record. Backbone of recovery/VF argument.,Yes,Yes
69,TOFU — task of fictitious unlearning,Maini,2024,Peer-reviewed,COLM 2024,2401.06121,,,,,Peer-reviewed (verify),Foundation,Unlearning eval w/ membership tests. Verified-forgetting metric basis.,Yes,Yes
70,W3C PROV-DM,Moreau,2013,Standard/Reg,W3C Recommendation,—,,,,,Standard/Reg,Foundation,Provenance vocabulary you map memory records onto. Core standard.,Yes,Yes
71,Guide to Integrating Forensic Techniques into IR (SP 800-86),Kent,2006,Standard/Reg,NIST SP 800-86,—,,,,,Standard/Reg,Foundation,Forensic-process foundation for your workflow.,Yes,Yes
72,ISO/IEC 27043:2015 — Incident Investigation,ISO/IEC,2015,Standard/Reg,ISO/IEC 27043,—,,,,,Standard/Reg,Foundation,Investigation-process foundation.,Yes,Yes
73,EU AI Act Art.12 (record-keeping),EU Parl. & Council,2024,Standard/Reg,Reg (EU) 2024/1689,—,,,,,Standard/Reg,Foundation,Legal record-keeping/retention driver for forensic readiness.,Yes,Yes
74,Certificate Transparency (RFC 6962),Laurie,2013,Standard/Reg,IETF RFC 6962,—,,,,,Standard/Reg,Foundation,Append-only verifiable log design inspiring your evidence plane.,Yes,Yes
75,A Ten-Step Process for Forensic Readiness,Rowlingson,2004,Peer-reviewed,IJDE 2(3),—,,,,,Peer-reviewed (verify),Foundation,Central conceptual foundation for 'forensic readiness'.,Yes,Yes
76,How to Time-stamp a Digital Document,Haber,1991,Peer-reviewed,J. Cryptology,—,,,,,Peer-reviewed (verify),Foundation,Trusted timestamping. Evidence-integrity basis.,Yes,No
77,Efficient Data Structures for Tamper-evident Logging,Crosby,2009,Peer-reviewed,USENIX Sec 2009,—,,,,,Peer-reviewed (verify),Foundation,Hash chains / Merkle. Evidence-integrity basis.,Yes,Yes
78,Comparison of Commercial & Military Security Policies,Clark,1987,Peer-reviewed,IEEE S&P 1987,—,,,,,Peer-reviewed (verify),Foundation,Integrity vs well-formedness distinction for semantic validity.,Yes,No
79,A Lattice Model of Secure Information Flow,Denning,1976,Peer-reviewed,CACM 19,—,,,,,Peer-reviewed (verify),Foundation,IFC foundations behind isolation/least-privilege.,Yes,No
80,Why Do Multi-Agent LLM Systems Fail? (MAST),Cemri,2025,Preprint,arXiv,2503.13657,,,,,Preprint,Foundation,Cascading failures through delegation. Multi-agent blast-radius grounding.,Yes,Yes
81,PRISMA 2020 Statement,Page,2021,Peer-reviewed,BMJ 372:n71,—,,,,,Peer-reviewed (verify),Foundation,Reporting guideline for the review method.,Context,No
82,PRISMA-ScR (scoping reviews),Tricco,2018,Peer-reviewed,Ann Intern Med 169,—,,,,,Peer-reviewed (verify),Foundation,Scoping-review reporting guideline. Use this framing.,Context,No
83,State Contamination — memory laundering,Wang,2026,Preprint,arXiv,2605.16746,,,,,Preprint,Attack/failure,"Terminology-robustness addition; persistent-state contamination, semantic laundering, and hidden downstream influence.",Yes,Yes
84,ADAM — adaptive extraction attack on agent memory,Lyu,2026,Preprint,arXiv,2604.09747,,,,,Preprint,Attack,Terminology-robustness addition; black-box adaptive querying for privacy extraction from persistent agent memory.,Yes,Yes
85,Defense effectiveness across architectural layers,Leong,2026,Preprint,arXiv,2605.08442,,,,,Preprint,Defense,Terminology-robustness addition; mechanistic evaluation of persistent-memory defenses across architectural layers.,Yes,Yes
86,Agent-BOM — security-auditable graph representation,Li,2026,Preprint,arXiv,2605.06812,,,,,Preprint,Provenance/System,"Terminology-robustness addition; graph-based audit paths for memory contamination, root cause, and multi-agent propagation.",Yes,Yes
