Batch,Study ID,Uploaded filename,Verified title,First author / organisation,Year,Publication / source,Document role,Core survey eligibility,Reason / relevance,PDF status,Local sandbox path,Matched corpus record,Metadata verified,Full-text extraction status,Notes,Upload date
2,57,2410.10813v2.pdf,LongMemEval: Benchmarking Chat Assistants on Long-Term Interactive Memory,Di Wu et al.,2025,ICLR 2025,Benchmark / capability,Adjacent,"Foundational long-term memory benchmark covering extraction, multi-session reasoning, temporal reasoning, updates, and abstention. Useful for showing what capability benchmarks omit about forensic evidence and recovery.",Complete PDF,/mnt/data/2410.10813v2.pdf,Yes,Yes,Not required,Matches corpus ID 57.,2026-07-16
2,56,2410.15267v2.pdf,When Machine Unlearning Meets Retrieval-Augmented Generation (RAG): Keep Secret or Forget Knowledge?,Shang Wang et al.,2025,arXiv preprint,Defense / adjacent,Adjacent,"RAG-based behavioral unlearning is useful for recovery and reappearance discussions, but the paper primarily modifies a static knowledge base rather than an agent-written persistent memory system.",Complete PDF,/mnt/data/2410.15267v2.pdf,Yes,Yes,Not required,"Matches corpus ID 56. Use as adjacent recovery literature, not a core persistent-memory-agent study.",2026-07-16
2,55,2602.17692v2.pdf,Agentic Unlearning: When LLM Agent Meets Machine Unlearning,Bin Wang et al.,2026,arXiv preprint,Defense / recovery,Include candidate,"Directly addresses persistent agent memory and parameter-memory backflow, proposing dependency-closure memory unlearning and synchronized recovery. Central to residual contamination and recontamination analysis.",Complete PDF,/mnt/data/2602.17692v2.pdf,Yes,Yes,Ready for extraction,Matches corpus ID 55.,2026-07-16
3,54,2605.03482v2.pdf,MEMSAD: Gradient-Coupled Anomaly Detection for Memory Poisoning in Retrieval-Augmented Agents,Ishrith Gowda,2026,arXiv preprint,Defense,Include candidate,"Directly formalizes poisoning of persistent external agent memory and proposes a calibrated anomaly detector with theoretical guarantees, online calibration, and real-system validation. Core defense evidence.",Complete PDF,/mnt/data/2605.03482v2.pdf,Yes,Yes,Ready for extraction,"Matches corpus ID 54. Record formal guarantees, attack-access classes, detection metrics, and synonym-invariance limitation.",2026-07-16
3,53,2603.02240v1.pdf,SuperLocalMemory: Privacy-Preserving Multi-Agent Memory with Bayesian Trust Defense Against Memory Poisoning,Varun Pratap Bhardwaj,2026,arXiv preprint / under review,Defense / system,Include candidate,"Direct persistent multi-agent memory architecture with per-agent provenance, Bayesian trust scoring, local isolation, erasure support, and poisoning evaluation. Relevant to provenance, trust, and recovery.",Complete PDF,/mnt/data/2603.02240v1.pdf,Yes,Yes,Ready for extraction,Matches corpus ID 53. Treat production-attack claims cautiously and distinguish system evaluation from independently reproduced evidence.,2026-07-16
3,52,2504.21668v2.pdf,Traceback of Poisoning Attacks to Retrieval-Augmented Generation,Baolei Zhang et al.,2025,ACM Web Conference 2025,Defense / traceback,Adjacent,"Important post-hoc traceback method that identifies poisoned RAG texts, but it targets a static knowledge database rather than agent-written persistent memory. Use as a forensic-method anchor and comparator.",Complete PDF,/mnt/data/2504.21668v2.pdf,Yes,Yes,Not required,Matches corpus ID 52. DOI 10.1145/3696410.3714756.,2026-07-16
3,51,2508.08127v2.pdf,BlindGuard: Safeguarding LLM-Based Multi-Agent Systems under Unknown Attacks,Rui Miao et al.,2026,arXiv preprint,Defense / multi-agent,Adjacent,"Unsupervised graph anomaly detection for malicious-agent propagation, including memory-poisoning attack settings. Useful for blast-radius and contagion detection, but not a persistent-memory-specific system.",Complete PDF,/mnt/data/2508.08127v2.pdf,Yes,Yes,Not required,Matches corpus ID 51. Uploaded revision is dated April 2026; update year/status from the PDF.,2026-07-16
3,50,2505.18279v1.pdf,Collaborative Memory: Multi-User Memory Sharing in LLM Agents with Dynamic Access Control,Alireza Rezazadeh et al.,2025,arXiv preprint / under review,Defense / governance,Include candidate,"Direct persistent multi-user and multi-agent memory framework with private/shared tiers, immutable provenance, dynamic read/write policies, retrospective permission checks, and auditable memory operations.",Complete PDF,/mnt/data/2505.18279v1.pdf,Yes,Yes,Ready for extraction,"Matches corpus ID 50. Core evidence for authority, provenance, temporal permissions, and shared-memory governance.",2026-07-16
3,49,2403.04960v2.pdf,ISOLATEGPT: An Execution Isolation Architecture for LLM-Based Agentic Systems,Yuhao Wu et al.,2025,NDSS 2025,Defense / architecture,Adjacent,"Strong execution-isolation and containment architecture for agent apps. It secures context and inter-app collaboration, but is not centred on persistent memory or post-incident reconstruction.",Complete PDF,/mnt/data/2403.04960v2.pdf,Yes,Yes,Not required,Matches corpus ID 49. Use for containment and isolation background.,2026-07-16
3,48,2504.11703v3.pdf,Progent: Securing AI Agents with Privilege Control,Tianneng Shi et al.,2026,arXiv preprint,Defense / privilege control,Adjacent,"Deterministic least-privilege enforcement over tool calls and arguments with monotonic confinement. Highly relevant to action-authority control, but not a persistent-memory-specific study.",Complete PDF,/mnt/data/2504.11703v3.pdf,Yes,Yes,Not required,Matches corpus ID 48. Uploaded revision is May 2026; update year/status accordingly.,2026-07-16
3,47,2505.23643v2.pdf,Securing AI Agents with Information-Flow Control,Manuel Costa et al.,2025,arXiv preprint,Defense / information-flow control,Adjacent,"Formal IFC model and FIDES planner provide deterministic integrity/confidentiality policies and policy traces. Relevant to authority and evidence design, but not focused on cross-session persistent memory.",Complete PDF,/mnt/data/2505.23643v2.pdf,Yes,Yes,Not required,Matches corpus ID 47. Use as a system-level control and provenance foundation.,2026-07-16
3,46,2503.18813v2.pdf,Defeating Prompt Injections by Design,Edoardo Debenedetti et al.,2025,arXiv preprint,Defense / capability control,Adjacent,"CaMeL separates trusted control flow from untrusted data flow and tracks provenance/capabilities. Valuable for memory-to-action policy design, but evaluated on transient prompt injection rather than persistent memory.",Complete PDF,/mnt/data/2503.18813v2.pdf,Yes,Yes,Not required,Matches corpus ID 46. Use as adjacent prevention and evidentiary-control literature.,2026-07-16
3,45,2025.findings-emnlp.698.pdf,RevPRAG: Revealing Poisoning Attacks in Retrieval-Augmented Generation through LLM Activation Analysis,Xue Tan et al.,2025,Findings of EMNLP 2025,Defense / detection,Adjacent,"Detects poisoned RAG responses using internal activation patterns with high reported TPR and low FPR. Useful as adjacent detection literature, but not agent-written persistent memory or forensic traceback.",Complete PDF,/mnt/data/2025.findings-emnlp.698.pdf,Yes,Yes,Not required,Matches corpus ID 45.,2026-07-16
4,44,NeurIPS-2025-secon-rag-a-two-stage-semantic-filtering-and-conflict-free-framework-for-trustworthy-rag-Paper-Conference.pdf,SeCon-RAG: A Two-Stage Semantic Filtering and Conflict-Free Framework for Trustworthy RAG,Xiaonan Si et al.,2025,NeurIPS 2025,Defense / RAG,Adjacent,"Two-stage semantic and conflict-aware filtering for poisoned RAG corpora. Useful as an adjacent retrieval-stage defense, but it does not study agent-written persistent memory or post-incident forensics.",Complete PDF,/mnt/data/NeurIPS-2025-secon-rag-a-two-stage-semantic-filtering-and-conflict-free-framework-for-trustworthy-rag-Paper-Conference.pdf,Yes,Yes,Not required,Matches corpus ID 44.,2026-07-16
4,43,2501.00879v3.pdf,TrustRAG: Enhancing Robustness and Trustworthiness in Retrieval-Augmented Generation,Huichi Zhou et al.,2025,arXiv preprint,Defense / RAG,Adjacent,"Cluster filtering and LLM self-assessment mitigate static-corpus poisoning. Useful for retrieval-stage comparison, but outside the core persistent-memory forensic corpus.",Complete PDF,/mnt/data/2501.00879v3.pdf,Yes,Yes,Not required,Matches corpus ID 43.,2026-07-16
4,42,2510.02373v1.pdf,A-MemGuard: A Proactive Defense Framework for LLM-Based Agent Memory,Qianshan Wei et al.,2025,arXiv preprint,Defense,Include candidate,"Direct memory-native defense using context-aware consensus validation and a lesson-memory layer to interrupt self-reinforcing poisoning cycles. Core evidence for prevention, adaptive correction, and recovery.",Complete PDF,/mnt/data/2510.02373v1.pdf,Yes,Yes,Ready for extraction,Matches corpus ID 42.,2026-07-16
4,41,2405.15556v2.pdf,Certifiably Robust RAG against Retrieval Corruption,Chong Xiang et al.,2026,arXiv / IEEE SaTML version to verify,Defense / RAG,Adjacent,"Certifiable isolate-then-aggregate defense against bounded retrieval corruption. Strong theoretical comparator, but focused on static retrieved passages rather than persistent agent memory.",Complete PDF,/mnt/data/2405.15556v2.pdf,Yes,Yes,Not required,Matches corpus ID 41. Verify official SaTML 2026 publication metadata before final citation.,2026-07-16
4,40,2606.30566v1.pdf,Forensic Trajectory Signatures for Agent Memory Poisoning Detection,Jun Wen Leong,2026,arXiv preprint / under review,Defense / forensics,Include candidate,"Directly identifies persistent-memory poisoning from tool-call trajectory invariants, supports real-time blocking, and distinguishes memory-channel attacks from prompt injection using logs alone.",Complete PDF,/mnt/data/2606.30566v1.pdf,Yes,Yes,Ready for extraction,"Matches corpus ID 40. Central to behavioral evidence, channel attribution, and evidential confidence.",2026-07-16
4,39,2605.23723v1.pdf,MemAudit: Post-hoc Auditing of Poisoned Agent Memory via Causal Attribution and Structural Anomaly Detection,Zhewen Tan et al.,2026,arXiv preprint,Defense / post-hoc audit,Include candidate,Core forensic paper combining counterfactual memory influence with a structural consistency graph to identify responsible memories after harmful behavior.,Complete PDF,/mnt/data/2605.23723v1.pdf,Yes,Yes,Ready for extraction,"Matches corpus ID 39. Central to MEIRC, causal-confidence levels, and post-hoc remediation.",2026-07-16
4,38,2606.24322v1.pdf,"Securing LLM-Agent Long-Term Memory Against Poisoning: Non-Malleable, Origin-Bound Authority with Machine-Checked Guarantees",Yedidel Louck,2026,arXiv preprint,Defense / formal authority,Include candidate,Directly addresses provenance laundering and proves that authority must be bound to non-malleable origin rather than content or mutable lineage alone. Core evidence for the provenance-versus-authority distinction.,Complete PDF,/mnt/data/2606.24322v1.pdf,Yes,Yes,Ready for extraction,"Matches corpus ID 38. Record formal assumptions, TLA+ guarantees, laundering channels, and corroboration model.",2026-07-16
4,37,2605.14421v1.pdf,MemLineage: Lineage-Guided Enforcement for LLM Agent Memory,Ciyan Ouyang and Rui Hou,2026,arXiv preprint,Defense / provenance,Include candidate,"Direct chain-of-custody defense combining signed entries, Merkle logging, derivation DAGs, lineage propagation, sensitive-action gating, and recovery proofs.",Complete PDF,/mnt/data/2605.14421v1.pdf,Yes,Yes,Ready for extraction,"Matches corpus ID 37. Central to provenance, evidence integrity, lineage completeness, and dependency-aware revocation.",2026-07-16
4,36,2507.03724v4.pdf,MemOS: A Memory OS for AI System,Zhiyu Li et al.,2025,arXiv preprint,Provenance / system,Include candidate,"Persistent-memory infrastructure that packages content with provenance, versioning, sensitivity, lifecycle, snapshot, and rollback metadata. Not a security evaluation, but a core systems substrate for forensic-readiness requirements.",Complete PDF,/mnt/data/2507.03724v4.pdf,Yes,Yes,Ready for extraction,"Matches corpus ID 36. Extract only architecture, metadata, lifecycle, snapshot, and rollback capabilities; do not treat as attack-defense evidence.",2026-07-16
4,35,2508.02866v3.pdf,PROV-AGENT: Unified Provenance for Tracking AI Agent Interactions in Agentic Workflows,Renan Souza et al.,2025,IEEE e-Science 2025,Provenance / system,Include candidate,"Extends W3C PROV to prompts, responses, decisions, interactions, workflows, and downstream outcomes, with near-real-time capture. Core evidence for the general evidence model supporting MEIRC.",Complete PDF,/mnt/data/2508.02866v3.pdf,Yes,Yes,Ready for extraction,"Matches corpus ID 35. Not memory-specific, so use as provenance-system evidence rather than memory attack evidence.",2026-07-16
4,34,2506.02539v3.pdf,VerificAgent: Domain-Specific Memory Verification for Scalable Oversight of Aligned Computer-Use Agents,Thong Q. Nguyen et al.,2025,arXiv preprint / under review,Defense / verification,Include candidate,"Direct persistent-memory verification framework using expert seeds, trajectory-derived memory growth, post-hoc human fact checking, and a frozen verified memory safety contract.",Complete PDF,/mnt/data/2506.02539v3.pdf,Yes,Yes,Ready for extraction,"Matches corpus ID 34. Core evidence for write-time verification, human oversight, and memory sanitisation.",2026-07-16
4,33,2605.27825v1.pdf,MRMMIA: Membership Inference Attacks on Memory in Chat Agents,Kai Chen et al.,2026,arXiv preprint,Attack / privacy,Include candidate,"Directly formalizes membership inference against chat-agent memory across black-, gray-, and white-box settings. Core confidentiality evidence and benchmark foundation for memory-membership leakage.",Complete PDF,/mnt/data/2605.27825v1.pdf,Yes,Yes,Ready for extraction,Matches corpus ID 33.,2026-07-16
5,32,2605.09033v3.pdf,ShadowMerge: A Novel Poisoning Attack on Graph-Based Agent Memory via Relation-Channel Conflicts,Yang Luo et al.,2026,arXiv preprint,Attack / graph memory,Include candidate,"Direct poisoning attack on persistent graph-based agent memory. It exploits anchor–relation-channel conflicts and evaluates extraction, merging, retrieval, and downstream behavior in Mem0 graph memory.",Complete PDF,/mnt/data/2605.09033v3.pdf,Yes,Yes,Ready for extraction,"Matches corpus ID 32. Core evidence for graph-memory-specific attack surfaces, multi-hop lineage, and relation-level contamination.",2026-07-16
5,31,2605.29960v1.pdf,Hijacking Agent Memory: Stealthy Trojan Attacks Through Conversational Interaction,Hongtao Wang et al.,2026,arXiv preprint,Attack / poisoning,Include candidate,"Direct black-box conversational poisoning attack designed to survive selective extraction, rewriting, and retrieval in realistic long-term memory pipelines.",Complete PDF,/mnt/data/2605.29960v1.pdf,Yes,Yes,Ready for extraction,"Matches corpus ID 31. Record semantic bridge, entity masquerading, joint embedding optimization, ASR, stealth, and defense limitations.",2026-07-16
5,30,2602.15344v1.pdf,ER-MIA: Black-Box Adversarial Memory Injection Attacks on Long-Term Memory-Augmented Large Language Models,Mitchell Piehl et al.,2026,arXiv preprint,Attack / memory injection,Include candidate,Direct black-box injection study targeting similarity-based retrieval in dynamic long-term memory. Relevant to system-level retrieval vulnerabilities and persistent reasoning degradation.,Complete PDF,/mnt/data/2602.15344v1.pdf,Yes,Yes,Ready for extraction,Matches corpus ID 30. Distinguish this memory-injection acronym from membership inference attacks.,2026-07-16
5,29,2606.04425v1.pdf,What If Prompt Injection Never Left? Exploring Cross-Session Stored Prompt Injection in Agentic Systems,Yuanbo Xie et al.,2026,arXiv preprint,Attack / cross-session persistence,Include candidate,"Formalizes stored prompt injection across memories, filesystems, tools, skills, and other long-lived agent state. Core evidence that persistence converts transient injection into a system-level cross-session threat.",Complete PDF,/mnt/data/2606.04425v1.pdf,Yes,Yes,Ready for extraction,"Matches corpus ID 29. Extract persistence-channel taxonomy, benchmark design, and cross-session attack results.",2026-07-16
5,28,2410.14931v1.pdf,“Ghost of the Past”: Identifying and Resolving Privacy Leakage of LLM’s Memory Through Proactive User Interaction,Shuning Zhang et al.,2023,CHI 2023,Privacy / human factors,Adjacent,"Studies user awareness, visualization, and management of sensitive information inferred from conversational and RAG-based memory. Useful for privacy, consent, and user-facing remediation, but not an autonomous-agent forensic study.",Complete PDF,/mnt/data/2410.14931v1.pdf,Yes,Yes,Not required,Matches corpus ID 28. Correct citation year is 2023; arXiv upload occurred in 2024. DOI 10.1145/3544548.3581419.,2026-07-16
5,27,2403.02817v2.pdf,Here Comes the AI Worm: Unleashing Zero-Click Worms that Target GenAI-Powered Applications,Stav Cohen et al.,2025,arXiv / venue metadata to verify,Attack / propagation,Adjacent,"Demonstrates self-replicating prompts that persist through RAG-based applications and propagate across an ecosystem. Important for blast-radius and propagation analysis, but not specifically an agent-written personal memory store.",Complete PDF,/mnt/data/2403.02817v2.pdf,Yes,Yes,Not required,Matches corpus ID 27. Use as an ecosystem-level propagation comparator.,2026-07-16
5,26,2402.08567v2.pdf,Agent Smith: A Single Image Can Jailbreak One Million Multimodal LLM Agents Exponentially Fast,Xiangming Gu et al.,2024,ICML 2024,Attack / multi-agent propagation,Include candidate,"Memory-bank-mediated infectious jailbreak across a large multi-agent environment. Core evidence for propagation speed, systemic blast radius, and multimodal contamination.",Complete PDF,/mnt/data/2402.08567v2.pdf,Yes,Yes,Ready for extraction,"Matches corpus ID 26. It is not cross-session personal memory, so code it primarily under share/propagate evidence.",2026-07-16
5,25,sec24winter-prepub-1468-zou.pdf,PoisonedRAG: Knowledge Corruption Attacks to Retrieval-Augmented Generation of Large Language Models,Wei Zou et al.,2024,USENIX Security publication metadata to verify,Attack / static RAG,Adjacent,"Canonical static knowledge-base poisoning attack. Retain as a contrast showing how agent-memory attacks differ in write path, persistence, transformation, and authority.",Complete PDF,/mnt/data/sec24winter-prepub-1468-zou.pdf,Yes,Yes,Not required,"Matches corpus ID 25. Verify final USENIX year, proceedings title, and pages before citation.",2026-07-16
5,24,2604.16966v1.pdf,Visual Inception: Compromising Long-Term Planning in Agentic Recommenders via Multimodal Memory Poisoning,Jiachen Qian,2026,arXiv preprint,Attack and defense / multimodal memory,Include candidate,"Direct sleeper-style poisoning of persistent multimodal memory in agentic recommender systems, with future planning effects and counterfactual reasoning verification defense.",Complete PDF,/mnt/data/2604.16966v1.pdf,Yes,Yes,Ready for extraction,"Matches corpus ID 24. Core evidence for multimodal memory, delayed activation, planning hijack, and counterfactual evaluation.",2026-07-16
5,23,2602.20156v3.pdf,SKILL-INJECT: Measuring Agent Vulnerability to Skill File Attacks,David Schmotz et al.,2026,arXiv preprint,Attack / persistent skill files,Adjacent,"Evaluates malicious instructions embedded in persistent skill files. Relevant to procedural state and supply-chain authority, but skills are not the same as dynamically learned agent memory.",Complete PDF,/mnt/data/2602.20156v3.pdf,Yes,Yes,Not required,Matches corpus ID 23. Use as adjacent procedural-persistence evidence.,2026-07-16
5,22,2604.01350v1.pdf,No Attacker Needed: Unintentional Cross-User Contamination in Shared-State LLM Agents,Tiankai Yang et al.,2026,arXiv preprint / under review,Non-adversarial failure / shared state,Include candidate,Directly studies benign but harmful persistence across users in shared agent state. Core evidence that forensic readiness must cover non-adversarial contamination and scope errors.,Complete PDF,/mnt/data/2604.01350v1.pdf,Yes,Yes,Ready for extraction,"Matches corpus ID 22. Extract contamination taxonomy, state mechanisms, residual risk, and silent wrong-answer findings.",2026-07-16
5,21,2602.15654v2.pdf,Zombie Agents: Persistent Control of Self-Evolving LLM Agents via Self-Reinforcing Injections,Xianglin Yang et al.,2026,arXiv preprint,Attack / persistent control,Include candidate,Direct cross-session attack in which indirect content enters long-term memory during a benign task and later triggers unauthorized tool behavior. Central persistence and reactivation evidence.,Complete PDF,/mnt/data/2602.15654v2.pdf,Yes,Yes,Ready for extraction,"Matches corpus ID 21. Extract infection/trigger phases, persistence strategies, unauthorized actions, and benign-utility preservation.",2026-07-16
6,20,2605.26154v1.pdf,MemMorph: Tool Hijacking in LLM Agents via Memory Poisoning,Xuanye Zhang et al.,2026,arXiv preprint,Attack / tool selection,Include candidate,"Directly poisons long-term agent memory with disguised facts, incident reports, and operational policies to bias later tool selection. Core execute-phase evidence.",Complete PDF,/mnt/data/2605.26154v1.pdf,Yes,Yes,Ready for extraction,"Matches corpus ID 20. Extract tool-selection ASR, memory implementations, attack record types, defense resistance, and downstream action risks.",2026-07-16
6,19,2606.04329v2.pdf,From Untrusted Input to Trusted Memory: A Systematic Study of Memory Poisoning Attacks in LLM Agents,Pritam Dash et al.,2026,ICML 2026 AIWILD workshop,Attack taxonomy / benchmark,Include candidate,"Systematic primary study identifying four memory-write channels, nine structural vulnerabilities, six attack classes, and MPBench. Central evidence for the attack-surface taxonomy.",Complete PDF,/mnt/data/2606.04329v2.pdf,Yes,Yes,Ready for extraction,"Matches corpus ID 19. Code as primary benchmark/taxonomy evidence, not as a secondary survey.",2026-07-16
