Study ID,Title,Authors,Year,Source,Role,Reason not counted as core,How it is used,PDF file,Metadata status,Notes
47,Securing AI Agents with Information-Flow Control,Manuel Costa et al.,2025,arXiv preprint,Defense / information-flow control,"Formal IFC model and FIDES planner provide deterministic integrity/confidentiality policies and policy traces. Relevant to authority and evidence design, but not focused on cross-session persistent memory.",Background / comparison / methods foundation,2505.23643v2.pdf,Verified,Matches corpus ID 47. Use as a system-level control and provenance foundation.
46,Defeating Prompt Injections by Design,Edoardo Debenedetti et al.,2025,arXiv preprint,Defense / capability control,"CaMeL separates trusted control flow from untrusted data flow and tracks provenance/capabilities. Valuable for memory-to-action policy design, but evaluated on transient prompt injection rather than persistent memory.",Background / comparison / methods foundation,2503.18813v2.pdf,Verified,Matches corpus ID 46. Use as adjacent prevention and evidentiary-control literature.
45,RevPRAG: Revealing Poisoning Attacks in Retrieval-Augmented Generation through LLM Activation Analysis,Xue Tan et al.,2025,Findings of EMNLP 2025,Defense / detection,"Detects poisoned RAG responses using internal activation patterns with high reported TPR and low FPR. Useful as adjacent detection literature, but not agent-written persistent memory or forensic traceback.",Background / comparison / methods foundation,2025.findings-emnlp.698.pdf,Verified,Matches corpus ID 45.
44,SeCon-RAG: A Two-Stage Semantic Filtering and Conflict-Free Framework for Trustworthy RAG,Xiaonan Si et al.,2025,NeurIPS 2025,Defense / RAG,"Two-stage semantic and conflict-aware filtering for poisoned RAG corpora. Useful as an adjacent retrieval-stage defense, but it does not study agent-written persistent memory or post-incident forensics.",Background / comparison / methods foundation,NeurIPS-2025-secon-rag-a-two-stage-semantic-filtering-and-conflict-free-framework-for-trustworthy-rag-Paper-Conference.pdf,Verified,Matches corpus ID 44.
43,TrustRAG: Enhancing Robustness and Trustworthiness in Retrieval-Augmented Generation,Huichi Zhou et al.,2025,arXiv preprint,Defense / RAG,"Cluster filtering and LLM self-assessment mitigate static-corpus poisoning. Useful for retrieval-stage comparison, but outside the core persistent-memory forensic corpus.",Background / comparison / methods foundation,2501.00879v3.pdf,Verified,Matches corpus ID 43.
41,Certifiably Robust RAG against Retrieval Corruption,Chong Xiang et al.,2026,arXiv / IEEE SaTML version to verify,Defense / RAG,"Certifiable isolate-then-aggregate defense against bounded retrieval corruption. Strong theoretical comparator, but focused on static retrieved passages rather than persistent agent memory.",Background / comparison / methods foundation,2405.15556v2.pdf,Verified,Matches corpus ID 41. Verify official SaTML 2026 publication metadata before final citation.
28,“Ghost of the Past”: Identifying and Resolving Privacy Leakage of LLM’s Memor...,Shuning Zhang et al.,2023,CHI 2023,Privacy / human factors,"Studies user awareness, visualization, and management of sensitive informatio...",Background / comparison / methods foundation,2410.14931v1.pdf,Verified,Matches corpus ID 28. Correct citation year is 2023; arXiv upload occurred in...
27,Here Comes the AI Worm: Unleashing Zero-Click Worms that Target GenAI-Powered...,Stav Cohen et al.,2025,arXiv / venue metadata to verify,Attack / propagation,Demonstrates self-replicating prompts that persist through RAG-based applicat...,Background / comparison / methods foundation,2403.02817v2.pdf,Verified,Matches corpus ID 27. Use as an ecosystem-level propagation comparator.
25,PoisonedRAG: Knowledge Corruption Attacks to Retrieval-Augmented Generation o...,Wei Zou et al.,2024,USENIX Security publication metadata to verify,Attack / static RAG,Canonical static knowledge-base poisoning attack. Retain as a contrast showin...,Background / comparison / methods foundation,sec24winter-prepub-1468-zou.pdf,Verified,"Matches corpus ID 25. Verify final USENIX year, proceedings title, and pages ..."
23,SKILL-INJECT: Measuring Agent Vulnerability to Skill File Attacks,David Schmotz et al.,2026,arXiv preprint,Attack / persistent skill files,Evaluates malicious instructions embedded in persistent skill files. Relevant...,Background / comparison / methods foundation,2602.20156v3.pdf,Verified,Matches corpus ID 23. Use as adjacent procedural-persistence evidence.
9,From Storage to Experience: A Survey on the Evolution of LLM Agent Memory Mechanisms,Jinghao Luo et al.,2026,arXiv preprint,Survey / memory mechanisms,"Capability-oriented survey of storage, reflection, and experience stages in agent memory. Useful for architectural foundations and terminology, but not part of the primary forensic corpus.",Background / comparison / methods foundation,2605.06716v1.pdf,Verified,Matches corpus ID 9. Use to support the background taxonomy of memory evolution and mechanisms.
8,AI Meets Brain: A Unified Survey on Memory Systems from Cognitive Neuroscience to Autonomous Agents,Jiafeng Liang et al.,2025,arXiv preprint / ACM-style manuscript,Survey / memory foundations,"Broad interdisciplinary survey connecting cognitive neuroscience and agent memory, including taxonomy, lifecycle, benchmarks, and a limited security section. Useful for foundational definitions, but not primary evidence.",Background / comparison / methods foundation,2512.23343v1.pdf,Verified,Matches corpus ID 8. Use in the background and related-survey comparison.
7,"Security of LLM-Based Agents Regarding Attacks, Defenses, and Applications: A Comprehensive Survey",Yaxin Tang et al.,2026,Information Fusion 127 (2026) 103941,Survey / broad agent security,"Peer-reviewed broad survey of attacks, defenses, and security applications of LLM agents. Memory poisoning is one component, so it provides broader-but-shallower positioning.",Background / comparison / methods foundation,1-s2.0-S1566253525010036-main.pdf,Verified,Matches corpus ID 7. DOI 10.1016/j.inffus.2025.103941; official journal metadata verified from the uploaded publisher PDF.
6,"Towards Secure Retrieval-Augmented Generation: A Comprehensive Review of Threats, Defenses and Benchmarks",Yanming Mu et al.,2026,arXiv preprint,Survey / RAG security,"Comprehensive static-RAG security survey covering poisoning, privacy, defenses, and benchmarks. Important for explicitly distinguishing persistent agent memory from operator-curated retrieval corpora.",Background / comparison / methods foundation,2603.21654v1.pdf,Verified,Matches corpus ID 6. Use as adjacent-survey evidence only.
5,A Survey on the Memory Mechanism of Large Language Model Based Agents,Zeyu Zhang et al.,2024,arXiv preprint / ACM TOIS version available,Survey / memory mechanisms,"Canonical memory-mechanism survey covering definitions, design, evaluation, and applications. It provides the architectural baseline that the forensic survey extends.",Background / comparison / methods foundation,2404.13501v1.pdf,Verified,Matches corpus ID 5. Cite the peer-reviewed ACM TOIS version when bibliographic metadata is finalised.
4,"Memory in the Age of AI Agents: A Survey—Forms, Functions and Dynamics",Yuyang Hu et al.,2026,arXiv preprint,Survey / agent memory,"Large general survey distinguishing agent memory from LLM memory, RAG, and context engineering, and organising memory by forms, functions, and dynamics. Central background comparator.",Background / comparison / methods foundation,2512.13564v2.pdf,Verified,Matches corpus ID 4. Uploaded revision is dated January 2026; update corpus year accordingly.
3,"Always-On Agents: A Survey of Persistent Memory, State, and Governance in LLM Agents",Tianyu Ding et al.,2026,arXiv preprint,Survey / persistent state and governance,"Close survey on persistent state, authority, scope, mutability, provenance, recoverability, actionability, lifecycle governance, and rollback. It overlaps with governance and recovery but not with the proposed forensic incident-reconstruction focus.",Background / comparison / methods foundation,2606.30306v1.pdf,Verified,Matches corpus ID 3. Must be included in the direct comparison table and novelty discussion.
2,From Agent Traces to Trust: A Survey of Evidence Tracing and Execution Provenance in LLM Agents,Yiqi Wang et al.,2026,arXiv preprint,Survey / execution provenance,"Closest provenance-oriented survey, covering evidence tracing, execution graphs, memory provenance, audit, diagnosis, and recovery. The present survey must distinguish persistent-memory incidents, causal confidence, blast radius, anti-forensics, and recovery completeness.",Background / comparison / methods foundation,2606.04990v4.pdf,Verified,Matches corpus ID 2. Treat as a principal competing survey in the positioning section.
1,"A Survey on Long-Term Memory Security in LLM Agents: Attacks, Defenses, and Governance Across the Memory Lifecycle",Zehao Lin et al.,2026,arXiv preprint,Survey / LTM security,"Primary competing survey organising attacks and defenses across six memory-lifecycle phases and four security objectives, with Verifiable Memory Governance primitives. It does not centre post-incident evidence sufficiency and causal reconstruction.",Background / comparison / methods foundation,2604.16548v2 (1).pdf,Verified,Matches corpus ID 1. Must anchor the overlap and differentiation analysis.
