ID,Study,Attack / failure class,Entry channel,Attacker capability,Memory target,Lifecycle point,Activation pattern,Downstream consequence,Persistence scope,Evidence left,Evidence obscured / missing,Attribution value,Recovery difficulty,Key metric / result,Manuscript subsection,Verification
21,Zombie Agents: Persistent Control of Self-Evolving LLM Agents via Self-Reinfo...,Attack / persistent control,External content / environment,Attacker-controlled web content only,Self-evolving long-term memory,Acquire / Write / Retrieve / Execute,Infection phase followed by later trigger,Persistent harmful reasoning or action,Cross-session,"Poisoned source, memory update, trigger retrieval, unauthorized action",Complete source-to-action lineage usually unavailable; provenance and write-approval evidence often absent.,Partial,Medium,Shows one-time indirect injection can survive across sessions using memory-specific persistence strategies; verify exact ASR by setup.,Persistent control and reactivation,Verify exact table values where noted
22,No Attacker Needed: Unintentional Cross-User Contamination in Shared-State LL...,Non-adversarial failure / shared state,Memory record injection / poisoning,No attacker; benign interactions and state leakage,Shared multi-user agent state,Write / Share / Retrieve,Cross-user and later-session,Cross-user contamination,Cross-session,"User/state identifiers, writes, retrievals, wrong answers and residual state",Complete source-to-action lineage usually unavailable; provenance and write-approval evidence often absent.,Partial,Medium,Demonstrates silent harmful contamination without adversary; verify taxonomy and rates from full text.,Non-adversarial incidents; shared-state blast radius,Verify exact table values where noted
24,Visual Inception: Compromising Long-Term Planning in Agentic Recommenders via...,Attack and defense / multimodal memory,Shared/multimodal propagation,Poisoned multimodal inputs,Persistent multimodal recommendation memory,Write / Retrieve / Execute,Delayed future planning,Persistent harmful reasoning or action,Cross-session,"Multimodal memory, retrieval, recommendations/plans, counterfactual verification",Complete source-to-action lineage usually unavailable; provenance and write-approval evidence often absent.,Partial,Medium,Demonstrates delayed multimodal-memory influence and evaluates counterfactual reasoning as a defense; verify exact metrics.,Multimodal memory and counterfactual investigation,Verify exact table values where noted
26,Agent Smith: A Single Image Can Jailbreak One Million Multimodal LLM Agents E...,Attack / multi-agent propagation,Shared/multimodal propagation,Malicious image introduced to one or more agents,Shared multimodal memory bank,Share / Propagate / Execute,Exponential agent-to-agent spread,Multi-agent propagation,Cross-agent / ecosystem,"Image payload, memory-bank copies, inter-agent propagation and harmful outputs",Complete source-to-action lineage usually unavailable; provenance and write-approval evidence often absent.,Partial,High,Shows exponential propagation across a very large multi-agent population; extract exact spread and success figures.,"Propagation, contagion and blast-radius analysis",Verify exact table values where noted
29,What If Prompt Injection Never Left? Exploring Cross-Session Stored Prompt In...,Attack / cross-session persistence,Persistent state write,Writes malicious state through normal system interactions,"Persistent state including memory, files, tools and skills",Write / Store / Retrieve,Later session / state retrieval,Persistent harmful reasoning or action,Cross-session,"Persistent-state object, later retrieval, downstream agent execution",Complete source-to-action lineage usually unavailable; provenance and write-approval evidence often absent.,Partial,Medium,Provides taxonomy and evaluation of stored prompt injection across persistent channels; verify benchmark counts and ASR.,Scope boundary: persistent memory and adjacent durable state,Verify exact table values where noted
30,ER-MIA: Black-Box Adversarial Memory Injection Attacks on Long-Term Memory-Au...,Attack / memory injection,Query-only interaction,Black-box interaction,Dynamic long-term retrieval memory,Write / Retrieve,Query-conditioned retrieval,Persistent harmful reasoning or action,Cross-session,"Injection interactions, embeddings/retrieval, degraded reasoning outputs",Complete source-to-action lineage usually unavailable; provenance and write-approval evidence often absent.,Partial,High,Shows persistent reasoning degradation through dynamic retrieval; verify exact model/task metrics.,Black-box injection and retrieval manipulation,Verify exact table values where noted
31,Hijacking Agent Memory: Stealthy Trojan Attacks Through Conversational Intera...,Attack / poisoning,Query-only interaction,Black-box conversational interaction,Selective long-term conversational memory,Write / Transform / Retrieve,Targeted later queries,Persistent harmful reasoning or action,Cross-session,"Dialogue, extracted/rewritten memory, retrieval event, target output",Complete source-to-action lineage usually unavailable; provenance and write-approval evidence often absent.,Partial,High,Corpus notes report ASR up to 0.95 while bypassing selective-memory pipelines; verify exact setups and stealth measures.,Stealth and transformation-resistant poisoning,Verify exact table values where noted
32,ShadowMerge: A Novel Poisoning Attack on Graph-Based Agent Memory via Relatio...,Attack / graph memory,Memory record injection / poisoning,Injects adversarial graph-memory content,Graph-based agent memory (Mem0 graph),Write / Transform / Retrieve,Multi-hop relation retrieval,Persistent harmful reasoning or action,Cross-session,"Graph nodes/edges, merge operations, retrieval paths and outputs",Complete source-to-action lineage usually unavailable; provenance and write-approval evidence often absent.,Partial,High,Demonstrates graph-specific poisoning through relation conflicts; verify attack rates and graph-structure metrics.,"Graph memory, lineage and relation-level contamination",Verify exact table values where noted
33,MRMMIA: Membership Inference Attacks on Memory in Chat Agents,Attack / privacy,Memory record injection / poisoning,"Black-, gray- and white-box settings",Chat-agent long-term memory,Retrieve,Repeated membership queries,Privacy disclosure / exfiltration,Cross-session,"Queries, confidence/output signals, inferred membership labels",Complete source-to-action lineage usually unavailable; provenance and write-approval evidence often absent.,No,High,Establishes membership leakage from agent memory across attacker-knowledge settings; verify AUC/accuracy values.,Privacy: membership inference,Verify exact table values where noted
68,State Contamination in Memory-Augmented LLM Agents,Attack / failure — state contamination and memory laundering,Untrusted content and semantic summarisation,Supplies toxic or adversarial context; no direct memory-store access required,"Persistent summaries, transcripts, retrieved context, and memory buffers",Acquire / Write / Store / Retrieve / Execute / Transform,Later reuse of detector-clean compressed state,Hidden downstream toxicity and persistent hostile framing,Cross-session / multi-agent,"Source context, summaries, detector scores, paired rollouts, SPG measurements, downstream outputs",Compression can hide toxic origin and make harmful influence appear benign under standard detectors,Yes,Medium,Introduces the sub-threshold propagation gap; pre-summarisation sanitisation is more effective than cleaning only the completed summary.,"State contamination, provenance laundering, anti-forensics, and causal influence",Official arXiv metadata and abstract verified; capability coding follows the submitted manuscript.
69,ADAM: A Systematic Data Extraction Attack on Agent Memory via Adaptive Querying,Attack / privacy extraction,Black-box adaptive querying,Query and response access only; no direct memory-store access,Persistent agent-memory records and RAG-backed memory,Retrieve / Execute,Repeated entropy-guided adaptive elicitation,Disclosure of sensitive information stored in memory,Cross-session,"Adaptive query sequence, responses, entropy scores, estimated data distribution, recovered records",The original source and responsible write path are generally unavailable to the external attacker or investigator,No,High,Reports attack success rates up to 100% and substantial gains over prior query-based attacks.,Privacy extraction and post-incident evidence requirements,Official arXiv metadata and abstract verified; capability coding follows the submitted manuscript.
