ID,Full title,Authors,Year,Publication status,Venue,DOI / arXiv / ID,PDF file,Evidence group,Memory form,Agent setting,Primary lifecycle phase,Attack / control mechanism,Attacker access / trust assumption,Activation / persistence,Concise study contribution,Key reported result,Forensic artefacts available,Provenance,Source attribution,Causal reconstruction,Blast-radius support,Recovery support,PDF status,Uploaded filename,Main manuscript role,Selection status,Extraction status,Verification note
20,MemMorph: Tool Hijacking in LLM Agents via Memory Poisoning,Xuanye Zhang et al.,2026,Preprint,arXiv,2605.26154,2605.26154v1.pdf,Attack / tool selection,Long-term memory used for tool selection,Tool-augmented agents; 10 backbones; 3 memory modules,Write / Retrieve / Execute,Disguised factual/policy records bias tool choice,Injects a small number of memory records,Context-dependent tool selection,"Directly poisons long-term agent memory with disguised facts, incident report...",Up to 85.9% ASR with three records; up to 25% above strongest baseline; remains effective under three defenses.,"Poison records, retrieved guidance, tool-selection traces and actions",No,Partial,Yes,Partial,No,Complete PDF,2605.26154v1.pdf,Tool hijacking and action authority,Core include,Full text available,"Matches corpus ID 20. Extract tool-selection ASR, memory implementations, att..."
21,Zombie Agents: Persistent Control of Self-Evolving LLM Agents via Self-Reinfo...,Xianglin Yang et al.,2026,Preprint,arXiv,2602.15654,2602.15654v2.pdf,Attack / persistent control,Self-evolving long-term memory,Web/tool-using self-evolving agents,Acquire / Write / Retrieve / Execute,Self-reinforcing persistent indirect injection,Attacker-controlled web content only,Infection phase followed by later trigger,Direct cross-session attack in which indirect content enters long-term memory...,Shows one-time indirect injection can survive across sessions using memory-specific persistence strategies; verify exact ASR by setup.,"Poisoned source, memory update, trigger retrieval, unauthorized action",No,Partial,Yes,Partial,Partial,Complete PDF,2602.15654v2.pdf,Persistent control and reactivation,Core include,Full text available,"Matches corpus ID 21. Extract infection/trigger phases, persistence strategie..."
22,No Attacker Needed: Unintentional Cross-User Contamination in Shared-State LL...,Tiankai Yang et al.,2026,Preprint,arXiv,2604.01350,2604.01350v1.pdf,Non-adversarial failure / shared state,Shared multi-user agent state,Shared-state LLM agents,Write / Share / Retrieve,Unintentional cross-user contamination,No attacker; benign interactions and state leakage,Cross-user and later-session,Directly studies benign but harmful persistence across users in shared agent ...,Demonstrates silent harmful contamination without adversary; verify taxonomy and rates from full text.,"User/state identifiers, writes, retrievals, wrong answers and residual state",Partial,Partial,Partial,Yes,Partial,Complete PDF,2604.01350v1.pdf,Non-adversarial incidents; shared-state blast radius,Core include,Full text available,"Matches corpus ID 22. Extract contamination taxonomy, state mechanisms, resid..."
24,Visual Inception: Compromising Long-Term Planning in Agentic Recommenders via...,Jiachen Qian,2026,Preprint,arXiv,2604.16966,2604.16966v1.pdf,Attack and defense / multimodal memory,Persistent multimodal recommendation memory,Agentic recommender systems,Write / Retrieve / Execute,Multimodal sleeper poisoning and planning hijack,Poisoned multimodal inputs,Delayed future planning,Direct sleeper-style poisoning of persistent multimodal memory in agentic rec...,Demonstrates delayed multimodal-memory influence and evaluates counterfactual reasoning as a defense; verify exact metrics.,"Multimodal memory, retrieval, recommendations/plans, counterfactual verification",No,Partial,Yes,No,Partial,Complete PDF,2604.16966v1.pdf,Multimodal memory and counterfactual investigation,Core include,Full text available,"Matches corpus ID 24. Core evidence for multimodal memory, delayed activation..."
26,Agent Smith: A Single Image Can Jailbreak One Million Multimodal LLM Agents E...,Xiangming Gu et al.,2024,Peer-reviewed,ICML 2024,2402.08567,2402.08567v2.pdf,Attack / multi-agent propagation,Shared multimodal memory bank,Large multi-agent environment,Share / Propagate / Execute,Infectious image jailbreak propagated via memory bank,Malicious image introduced to one or more agents,Exponential agent-to-agent spread,Memory-bank-mediated infectious jailbreak across a large multi-agent environm...,Shows exponential propagation across a very large multi-agent population; extract exact spread and success figures.,"Image payload, memory-bank copies, inter-agent propagation and harmful outputs",No,Partial,Partial,Yes,No,Complete PDF,2402.08567v2.pdf,"Propagation, contagion and blast-radius analysis",Core include,Full text available,"Matches corpus ID 26. It is not cross-session personal memory, so code it pri..."
29,What If Prompt Injection Never Left? Exploring Cross-Session Stored Prompt In...,Yuanbo Xie et al.,2026,Preprint,arXiv,2606.04425,2606.04425v1.pdf,Attack / cross-session persistence,"Persistent state including memory, files, tools and skills",Agentic systems,Write / Store / Retrieve,Cross-session stored prompt injection,Writes malicious state through normal system interactions,Later session / state retrieval,"Formalizes stored prompt injection across memories, filesystems, tools, skill...",Provides taxonomy and evaluation of stored prompt injection across persistent channels; verify benchmark counts and ASR.,"Persistent-state object, later retrieval, downstream agent execution",Partial,Partial,Partial,Partial,Partial,Complete PDF,2606.04425v1.pdf,Scope boundary: persistent memory and adjacent durable state,Core include,Full text available,"Matches corpus ID 29. Extract persistence-channel taxonomy, benchmark design,..."
30,ER-MIA: Black-Box Adversarial Memory Injection Attacks on Long-Term Memory-Au...,Mitchell Piehl et al.,2026,Preprint,arXiv,2602.15344,2602.15344v1.pdf,Attack / memory injection,Dynamic long-term retrieval memory,Long-term-memory-augmented LLMs,Write / Retrieve,Black-box adversarial memory injection targeting similarity retrieval,Black-box interaction,Query-conditioned retrieval,Direct black-box injection study targeting similarity-based retrieval in dyna...,Shows persistent reasoning degradation through dynamic retrieval; verify exact model/task metrics.,"Injection interactions, embeddings/retrieval, degraded reasoning outputs",No,Partial,Partial,No,No,Complete PDF,2602.15344v1.pdf,Black-box injection and retrieval manipulation,Core include,Full text available,Matches corpus ID 30. Distinguish this memory-injection acronym from membersh...
31,Hijacking Agent Memory: Stealthy Trojan Attacks Through Conversational Intera...,Hongtao Wang et al.,2026,Preprint,arXiv,2605.29960,2605.29960v1.pdf,Attack / poisoning,Selective long-term conversational memory,Conversational memory agents,Write / Transform / Retrieve,Stealthy Trojan using semantic bridge and entity masquerading,Black-box conversational interaction,Targeted later queries,Direct black-box conversational poisoning attack designed to survive selectiv...,Corpus notes report ASR up to 0.95 while bypassing selective-memory pipelines; verify exact setups and stealth measures.,"Dialogue, extracted/rewritten memory, retrieval event, target output",No,Partial,Partial,No,No,Complete PDF,2605.29960v1.pdf,Stealth and transformation-resistant poisoning,Core include,Full text available,"Matches corpus ID 31. Record semantic bridge, entity masquerading, joint embe..."
32,ShadowMerge: A Novel Poisoning Attack on Graph-Based Agent Memory via Relatio...,Yang Luo et al.,2026,Preprint,arXiv,2605.09033,2605.09033v3.pdf,Attack / graph memory,Graph-based agent memory (Mem0 graph),Graph-memory agents,Write / Transform / Retrieve,Relation-channel conflict poisoning,Injects adversarial graph-memory content,Multi-hop relation retrieval,Direct poisoning attack on persistent graph-based agent memory. It exploits a...,Demonstrates graph-specific poisoning through relation conflicts; verify attack rates and graph-structure metrics.,"Graph nodes/edges, merge operations, retrieval paths and outputs",Partial,Partial,Partial,Partial,No,Complete PDF,2605.09033v3.pdf,"Graph memory, lineage and relation-level contamination",Core include,Full text available,Matches corpus ID 32. Core evidence for graph-memory-specific attack surfaces...
33,MRMMIA: Membership Inference Attacks on Memory in Chat Agents,Kai Chen et al.,2026,Preprint,arXiv,2605.27825,2605.27825v1.pdf,Attack / privacy,Chat-agent long-term memory,Memory-enabled chat agents,Retrieve,Membership inference against stored memory,"Black-, gray- and white-box settings",Repeated membership queries,Directly formalizes membership inference against chat-agent memory across bla...,Establishes membership leakage from agent memory across attacker-knowledge settings; verify AUC/accuracy values.,"Queries, confidence/output signals, inferred membership labels",No,No,No,No,No,Complete PDF,2605.27825v1.pdf,Privacy: membership inference,Core include,Full text available,Matches corpus ID 33.
34,VerificAgent: Domain-Specific Memory Verification for Scalable Oversight of A...,Thong Q. Nguyen et al.,2025,Preprint,arXiv,2506.02539,2506.02539v3.pdf,Defense / verification,Verified trajectory-derived memory,Computer-use agents,Write / Validate / Store,Human-verified memory freezing and safety contract,Trusted expert seeds and human fact checking,Memory update and reuse,"Direct persistent-memory verification framework using expert seeds, trajector...",Demonstrates scalable oversight through frozen verified memory; verify safety/utility and reviewer-effort metrics.,"Seed memory, proposed additions, verification decisions, frozen store and agent trajectories",Partial,Partial,Partial,No,Partial,Complete PDF,2506.02539v3.pdf,Write-time verification and human oversight,Core include,Full text available,"Matches corpus ID 34. Core evidence for write-time verification, human oversi..."
35,PROV-AGENT: Unified Provenance for Tracking AI Agent Interactions in Agentic ...,Renan Souza et al.,2025,Peer-reviewed,IEEE e-Science 2025,2508.02866,2508.02866v3.pdf,Provenance / system,Execution provenance including memory operations,Agentic workflows,All lifecycle phases,"W3C-PROV extension for prompts, tools, memory and actions",Trusted instrumentation,Continuous capture,"Extends W3C PROV to prompts, responses, decisions, interactions, workflows, a...",Provides near-real-time provenance capture for agent workflows; extract overhead and case-study evidence.,"Typed provenance graph of entities, activities, agents, prompts, responses and outcomes",Yes,Yes,Partial,Partial,Partial,Complete PDF,2508.02866v3.pdf,Provenance foundation and evidence schema,Core include,Full text available,"Matches corpus ID 35. Not memory-specific, so use as provenance-system eviden..."
36,MemOS: A Memory OS for AI System,Zhiyu Li et al.,2025,Preprint,arXiv,2507.03724,2507.03724v4.pdf,Provenance / system,Memory objects / MemCubes with lifecycle metadata,AI memory operating system,Store / Update / Snapshot / Rollback,"Memory OS with source, version, sensitivity and lifecycle metadata",System architecture,Memory lifecycle operations,"Persistent-memory infrastructure that packages content with provenance, versi...","Systems substrate rather than attack evaluation; documents snapshot, version and rollback capabilities.","Memory object IDs, versions, source metadata, snapshots and rollback events",Yes,Partial,No,Partial,Yes,Complete PDF,2507.03724v4.pdf,Forensic-ready memory architecture,Core include,Full text available,"Matches corpus ID 36. Extract only architecture, metadata, lifecycle, snapsho..."
37,MemLineage: Lineage-Guided Enforcement for LLM Agent Memory,Ciyan Ouyang and Rui Hou,2026,Preprint,arXiv,2605.14421,2605.14421v1.pdf,Defense / provenance,Signed lineage-aware long-term memory,LLM-agent memory systems,Write / Store / Retrieve / Execute / Recover,"Signed entries, Merkle log, derivation DAG and policy gating",Trusted signing / policy infrastructure,Sensitive-action enforcement,"Direct chain-of-custody defense combining signed entries, Merkle logging, derivation DAGs, lineage propagation, sensitive-action gating, and recovery proofs.",Provides chain-of-custody and lineage-guided enforcement; verify evaluation scale and overhead.,"Signed memory records, Merkle commitments, lineage DAG, policy decisions and recovery proofs",Yes,Yes,Partial,Yes,Yes,Complete PDF,2605.14421v1.pdf,Tamper-evident provenance and dependency-aware revocation,Core include,Full text available,"Matches corpus ID 37. Central to provenance, evidence integrity, lineage completeness, and dependency-aware revocation."
38,"Securing LLM-Agent Long-Term Memory Against Poisoning: Non-Malleable, Origin-Bound Authority with Machine-Checked Guarantees",Yedidel Louck,2026,Preprint,arXiv,2606.24322,2606.24322v1.pdf,Defense / formal authority,Origin-labelled long-term memory,LLM-agent memory,Write / Transform / Execute,Non-malleable origin-bound authority with formal guarantees,Formal authority labels and machine-checked policy,Derived memory used for action,Directly addresses provenance laundering and proves that authority must be bound to non-malleable origin rather than content or mutable lineage alone. Core evidence for the provenance-versus-authority distinction.,Machine-checked guarantees against provenance laundering under stated assumptions; extract threat model and proof scope.,"Origin labels, derivation/authority states, formal specifications and model-checking traces",Yes,Yes,Partial,Partial,Partial,Complete PDF,2606.24322v1.pdf,Provenance versus authority; formal guarantees,Core include,Full text available,"Matches corpus ID 38. Record formal assumptions, TLA+ guarantees, laundering channels, and corroboration model."
39,MemAudit: Post-hoc Auditing of Poisoned Agent Memory via Causal Attribution and Structural Anomaly Detection,Zhewen Tan et al.,2026,Preprint,arXiv,2605.23723,2605.23723v1.pdf,Defense / post-hoc audit,Agent memory plus structural consistency graph,Memory-enabled agents,Post hoc: Retrieve / Execute / Audit,Counterfactual influence plus structural anomaly detection,Post-incident access to memory and execution observations,After harmful behavior,Core forensic paper combining counterfactual memory influence with a structural consistency graph to identify responsible memories after harmful behavior.,"Direct post-hoc forensic study; extract attribution accuracy, ranking quality and ablation results.","Candidate memories, counterfactual replays, anomaly graph and ranked responsible entries",Partial,Yes,Yes,Partial,Partial,Complete PDF,2605.23723v1.pdf,Incident reconstruction and causal-confidence ladder,Core include,Full text available,"Matches corpus ID 39. Central to MEIRC, causal-confidence levels, and post-hoc remediation."
40,Forensic Trajectory Signatures for Agent Memory Poisoning Detection,Jun Wen Leong,2026,Preprint,arXiv,2606.30566,2606.30566v1.pdf,Defense / forensics,Persistent memory reflected in tool-call trajectories,Tool-using agents,Execute / Detect,Forensic trajectory signatures and real-time blocking,Execution logs only,During or after poisoned-memory use,"Directly identifies persistent-memory poisoning from tool-call trajectory invariants, supports real-time blocking, and distinguishes memory-channel attacks from prompt injection using logs alone.",Distinguishes memory-channel attacks from prompt injection using behavior traces; verify detection rates and false positives.,"Tool-call trajectories, invariants, signatures and detection decisions",No,Yes,Partial,Partial,No,Complete PDF,2606.30566v1.pdf,Behavioral evidence and attack-channel attribution,Core include,Full text available,"Matches corpus ID 40. Central to behavioral evidence, channel attribution, and evidential confidence."
42,A-MemGuard: A Proactive Defense Framework for LLM-Based Agent Memory,Qianshan Wei et al.,2025,Preprint,arXiv,2510.02373,2510.02373v1.pdf,Defense,Long-term agent memory and lesson memory,Memory-enabled agents,Write / Validate / Retrieve / Recover,Consensus validation plus adaptive lesson-memory correction,Defense layer observes candidate memory and context,Pre-write and later self-correction,"Direct memory-native defense using context-aware consensus validation and a lesson-memory layer to interrupt self-reinforcing poisoning cycles. Core evidence for prevention, adaptive correction, and recovery.",Memory-native proactive defense interrupts self-reinforcing poisoning cycles; verify detection/utility values.,"Validation votes, accepted/rejected entries, lesson memories and downstream outcomes",Partial,Partial,Partial,No,Yes,Complete PDF,2510.02373v1.pdf,"Prevention, adaptive correction and recovery",Core include,Full text available,Matches corpus ID 42.
50,Collaborative Memory: Multi-User Memory Sharing in LLM Agents with Dynamic Access Control,Alireza Rezazadeh et al.,2025,Preprint,arXiv,2505.18279,2505.18279v1.pdf,Defense / governance,Private/shared multi-user memory,Multi-user and multi-agent systems,Write / Share / Retrieve / Update,"Dynamic access control, immutable provenance and retrospective permission checks",Role/principal-scoped policy,Read/write/share operations,"Direct persistent multi-user and multi-agent memory framework with private/shared tiers, immutable provenance, dynamic read/write policies, retrospective permission checks, and auditable memory operations.",Demonstrates auditable shared-memory governance; verify policy overhead and evaluation scale.,"Principal IDs, ACL decisions, immutable provenance and audit records",Yes,Yes,No,Yes,Partial,Complete PDF,2505.18279v1.pdf,"Access control, shared memory and accountability",Core include,Full text available,"Matches corpus ID 50. Core evidence for authority, provenance, temporal permissions, and shared-memory governance."
53,SuperLocalMemory: Privacy-Preserving Multi-Agent Memory with Bayesian Trust Defense Against Memory Poisoning,Varun Pratap Bhardwaj,2026,Preprint,arXiv,2603.02240,2603.02240v1.pdf,Defense / system,Per-agent local persistent memory,Multi-agent systems,Write / Retrieve / Share / Erase,Local isolation and Bayesian trust defense,Per-agent provenance and trust scoring,Memory exchange and retrieval,"Direct persistent multi-agent memory architecture with per-agent provenance, Bayesian trust scoring, local isolation, erasure support, and poisoning evaluation. Relevant to provenance, trust, and recovery.",Reports poisoning defense and privacy-preserving local memory; verify quantitative security/utility results.,"Source agent, trust posterior, accepted/rejected memory and erasure records",Yes,Yes,Partial,Yes,Yes,Complete PDF,2603.02240v1.pdf,Trust-aware multi-agent memory and erasure,Core include,Full text available,Matches corpus ID 53. Treat production-attack claims cautiously and distinguish system evaluation from independently reproduced evidence.
54,MEMSAD: Gradient-Coupled Anomaly Detection for Memory Poisoning in Retrieval-Augmented Agents,Ishrith Gowda,2026,Preprint,arXiv,2605.03482,2605.03482v2.pdf,Defense,Persistent external retrieval memory,Retrieval-augmented agents,Write / Retrieve / Detect,Gradient-coupled calibrated anomaly detection,Defense monitors memory records and gradients/features,Online memory admission/retrieval,"Directly formalizes poisoning of persistent external agent memory and proposes a calibrated anomaly detector with theoretical guarantees, online calibration, and real-system validation. Core defense evidence.","Provides theoretical and empirical detection guarantees; extract TPR/FPR, calibration and system overhead.","Anomaly score, calibration set, accepted/rejected records and detection logs",Partial,Partial,No,No,No,Complete PDF,2605.03482v2.pdf,Memory-poisoning detection,Core include,Full text available,"Matches corpus ID 54. Record formal guarantees, attack-access classes, detection metrics, and synonym-invariance limitation."
55,Agentic Unlearning: When LLM Agent Meets Machine Unlearning,Bin Wang et al.,2026,Preprint,arXiv,2602.17692,2602.17692v2.pdf,Defense / recovery,External memory plus parameter memory,Self-evolving LLM agents,Forget / Recover,Dependency-closure unlearning and synchronized memory/parameter recovery,Recovery authority over memories and model updates,Post-deletion / post-compromise,"Directly addresses persistent agent memory and parameter-memory backflow, proposing dependency-closure memory unlearning and synchronized recovery. Central to residual contamination and recontamination analysis.","Targets parameter–memory backflow and recontamination; extract forgetting efficacy, utility and residual-risk metrics.","Dependency graph, deletion set, model/memory updates and recontamination tests",Partial,Partial,Partial,Yes,Yes,Complete PDF,2602.17692v2.pdf,Recovery completeness and recontamination,Core include,Full text available,Matches corpus ID 55.
59,Mem2ActBench: A Benchmark for Evaluating Long-Term Memory Utilization in Task-Oriented Autonomous Agents,Yiting Shen et al.,2026,Peer-reviewed,ACL 2026,2601.19935,2026.acl-long.370.pdf,Benchmark,Long-term task memory,Task-oriented tool-using autonomous agents,Retrieve / Execute,Benchmark of translating memory into grounded tool actions,Evaluation benchmark,Task-conditioned memory use,Evaluates whether persistent memory is actively translated into tool calls and grounded parameters. Essential for the memory-to-action link underlying causal reconstruction.,Measures whether retrieved memory is operationally applied rather than merely recalled; extract benchmark size and scores.,"Memory items, tool calls, grounded parameters and task outcomes",No,Partial,Yes,No,No,Complete PDF,2026.acl-long.370.pdf,Benchmark: memory-to-action causality,Core include,Full text available,Matches corpus ID 59.
60,GATEMEM: Benchmarking Memory Governance in Multi-Principal Shared-Memory Agents,Zhe Ren et al.,2026,Preprint,arXiv,2606.18829,2606.18829v1.pdf,Benchmark,Multi-principal shared persistent memory,Shared-memory agents,Write / Share / Forget / Recover,"Governance benchmark for utility, access control and active forgetting",Evaluation across principals and policies,Cross-principal use and deletion,"Directly evaluates shared persistent memory across multiple principals using utility, access control, and active forgetting. Central evidence for governance, blast radius, authority, and post-deletion non-recovery.","Benchmarks governance and post-deletion non-recovery; extract task count, policy violations and forgetting metrics.","Principal-scoped records, access decisions, deletion requests and post-delete retrieval tests",Partial,Yes,Partial,Yes,Yes,Complete PDF,2606.18829v1.pdf,"Benchmark: governance, authority and recovery",Core include,Full text available,Matches corpus ID 60.
61,CIMemories: A Compositional Benchmark for Contextual Integrity of Persistent Memory in LLMs,Niloofar Mireshghallah et al.,2025,Preprint,arXiv,2511.14937,2511.14937v1.pdf,Benchmark,Persistent user memory,Memory-enabled LLM systems,Retrieve / Execute,Contextual-integrity benchmark for compositional leakage,Evaluation benchmark,Cross-task and repeated-use leakage,"Direct persistent-memory privacy benchmark measuring context-dependent information-flow violations, cumulative leakage across tasks/runs, and utility trade-offs.",Measures contextual-integrity violations and cumulative leakage across tasks/runs; extract violation and utility metrics.,"Memory content, task contexts, information flows and leakage outcomes",Partial,Partial,Partial,Partial,No,Complete PDF,2511.14937v1.pdf,Benchmark: privacy and contextual integrity,Core include,Full text available,Matches corpus ID 61. Treat the uploaded version as a preprint unless an official ICLR 2026 record is verified separately.
