Study ID,Title,Authors,Year,Source,Role,Reason not counted as core,How it is used,PDF file,Metadata status,Notes
44,SeCon-RAG: A Two-Stage Semantic Filtering and Conflict-Free Framework for Tru...,Xiaonan Si et al.,2025,NeurIPS 2025,Defense / RAG,Two-stage semantic and conflict-aware filtering for poisoned RAG corpora. Use...,Background / comparison / methods foundation,NeurIPS-2025-secon-rag-a-two-stage-semantic-filtering-and-conflict-free-frame...,Verified,Matches corpus ID 44.
43,TrustRAG: Enhancing Robustness and Trustworthiness in Retrieval-Augmented Gen...,Huichi Zhou et al.,2025,arXiv preprint,Defense / RAG,Cluster filtering and LLM self-assessment mitigate static-corpus poisoning. U...,Background / comparison / methods foundation,2501.00879v3.pdf,Verified,Matches corpus ID 43.
41,Certifiably Robust RAG against Retrieval Corruption,Chong Xiang et al.,2026,arXiv / IEEE SaTML version to verify,Defense / RAG,Certifiable isolate-then-aggregate defense against bounded retrieval corrupti...,Background / comparison / methods foundation,2405.15556v2.pdf,Verified,Matches corpus ID 41. Verify official SaTML 2026 publication metadata before ...
28,“Ghost of the Past”: Identifying and Resolving Privacy Leakage of LLM’s Memor...,Shuning Zhang et al.,2023,CHI 2023,Privacy / human factors,"Studies user awareness, visualization, and management of sensitive informatio...",Background / comparison / methods foundation,2410.14931v1.pdf,Verified,Matches corpus ID 28. Correct citation year is 2023; arXiv upload occurred in...
27,Here Comes the AI Worm: Unleashing Zero-Click Worms that Target GenAI-Powered...,Stav Cohen et al.,2025,arXiv / venue metadata to verify,Attack / propagation,Demonstrates self-replicating prompts that persist through RAG-based applicat...,Background / comparison / methods foundation,2403.02817v2.pdf,Verified,Matches corpus ID 27. Use as an ecosystem-level propagation comparator.
25,PoisonedRAG: Knowledge Corruption Attacks to Retrieval-Augmented Generation o...,Wei Zou et al.,2024,USENIX Security publication metadata to verify,Attack / static RAG,Canonical static knowledge-base poisoning attack. Retain as a contrast showin...,Background / comparison / methods foundation,sec24winter-prepub-1468-zou.pdf,Verified,"Matches corpus ID 25. Verify final USENIX year, proceedings title, and pages ..."
23,SKILL-INJECT: Measuring Agent Vulnerability to Skill File Attacks,David Schmotz et al.,2026,arXiv preprint,Attack / persistent skill files,Evaluates malicious instructions embedded in persistent skill files. Relevant...,Background / comparison / methods foundation,2602.20156v3.pdf,Verified,Matches corpus ID 23. Use as adjacent procedural-persistence evidence.
9,From Storage to Experience: A Survey on the Evolution of LLM Agent Memory Mec...,Jinghao Luo et al.,2026,arXiv preprint,Survey / memory mechanisms,"Capability-oriented survey of storage, reflection, and experience stages in a...",Background / comparison / methods foundation,2605.06716v1.pdf,Verified,Matches corpus ID 9. Use to support the background taxonomy of memory evoluti...
8,AI Meets Brain: A Unified Survey on Memory Systems from Cognitive Neuroscienc...,Jiafeng Liang et al.,2025,arXiv preprint / ACM-style manuscript,Survey / memory foundations,Broad interdisciplinary survey connecting cognitive neuroscience and agent me...,Background / comparison / methods foundation,2512.23343v1.pdf,Verified,Matches corpus ID 8. Use in the background and related-survey comparison.
7,"Security of LLM-Based Agents Regarding Attacks, Defenses, and Applications: A...",Yaxin Tang et al.,2026,Information Fusion 127 (2026) 103941,Survey / broad agent security,"Peer-reviewed broad survey of attacks, defenses, and security applications of...",Background / comparison / methods foundation,1-s2.0-S1566253525010036-main.pdf,Verified,Matches corpus ID 7. DOI 10.1016/j.inffus.2025.103941; official journal metad...
6,Towards Secure Retrieval-Augmented Generation: A Comprehensive Review of Thre...,Yanming Mu et al.,2026,arXiv preprint,Survey / RAG security,"Comprehensive static-RAG security survey covering poisoning, privacy, defense...",Background / comparison / methods foundation,2603.21654v1.pdf,Verified,Matches corpus ID 6. Use as adjacent-survey evidence only.
